adventure_nr,out,home,duration
285,2019-06-06T02:20:15Z,2019-06-06T02:45:40Z,25.416666666666668
286,2019-06-06T03:46:16Z,2019-06-06T03:53:22Z,7.1
287,2019-06-06T22:48:33Z,2019-06-06T23:14:09Z,25.6
288,2019-06-07T03:02:29Z,2019-06-07T03:12:04Z,9.583333333333334
289,2019-06-07T04:42:56Z,2019-06-07T04:47:13Z,4.283333333333333
290,2019-06-07T21:56:12Z,2019-06-07T22:53:03Z,56.85
291,2019-06-08T07:35:45Z,2019-06-08T15:47:14Z,491.48333333333335
292,2019-06-08T17:20:25Z,2019-06-08T21:29:46Z,249.35
293,2019-06-09T02:20:48Z,2019-06-09T03:34:56Z,74.13333333333334
294,2019-06-09T04:30:30Z,2019-06-09T04:41:39Z,11.15
295,2019-06-09T06:41:53Z,2019-06-09T23:03:14Z,981.35
296,2019-06-10T02:45:21Z,2019-06-10T03:56:49Z,71.46666666666667
297,2019-06-10T04:30:40Z,2019-06-10T04:41:08Z,10.466666666666667
298,2019-06-10T22:49:15Z,2019-06-11T00:22:28Z,93.21666666666667
299,2019-06-11T03:20:54Z,2019-06-11T03:40:20Z,19.433333333333334
300,2019-06-11T07:28:34Z,2019-06-11T21:20:42Z,832.1333333333333
301,2019-06-11T21:25:34Z,2019-06-11T23:51:15Z,145.68333333333334
302,2019-06-11T23:55:21Z,2019-06-12T00:13:40Z,18.316666666666666
303,2019-06-12T02:47:01Z,2019-06-12T04:06:28Z,79.45
304,2019-06-12T04:32:54Z,2019-06-12T04:48:30Z,15.6
305,2019-06-12T21:18:20Z,2019-06-12T23:39:03Z,140.71666666666667
306,2019-06-13T03:05:45Z,2019-06-13T04:07:23Z,61.63333333333333
307,2019-06-14T00:06:59Z,2019-06-14T00:50:39Z,43.666666666666664
308,2019-06-14T03:41:07Z,2019-06-14T03:56:05Z,14.966666666666667
309,2019-06-15T04:09:32Z,2019-06-15T04:49:25Z,39.88333333333333
